"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","16","16","1","34.598064","0","16"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","16","16","1","30.245773","0","16"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","22","22","1","23.520800","0","22"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","16","16","1","24.547977","0","16"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","17","17","1","18.780357","0","17"
"/Niagara/DefaultAssets/M_Gnomon.M_Gnomon","49","13","13","1","9.442412","0","13"
"/Niagara/DefaultAssets/M_Gnomon_Alpha.M_Gnomon_Alpha","49","13","13","1","17.638304","0","13"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","9","9","1","5.891234","0","9"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","40","40","1","38.339252","0","40"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","993","1016","1","1565.864868","0","0"
"/Game/Materials/acid/Acid.Acid","49","19","19","1","24.884424","0","19"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","67","67","1","38.320457","0","67"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","21","23","1","9.240788","0","23"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","7","7","1","5.983614","0","7"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","7","7","1","8.277454","0","7"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","75","80","6","99.221840","0","80"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","72","78","1","118.523270","0","78"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","92","92","1","0.000000","0","92"
"/Game/Models/Spider/Material.Material","49","11","11","1","12.169492","0","11"
"/Game/Models/Spider/Material_003.Material_003","49","11","11","1","10.594400","0","11"
"/Game/UEStaff/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","49","11","11","1","9.971971","0","11"
"/Game/UEStaff/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","49","16","16","1","30.929665","0","16"
"/Game/UEStaff/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","49","11","11","1","12.553390","0","11"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","18","18","1","46.783035","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","15","15","1","20.569231","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","27","29","1","43.615391","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","27","29","1","44.403137","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","15","15","1","23.412178","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","15","15","1","20.751026","0","15"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","42","46","1","102.516945","0","46"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","42","46","1","114.531235","0","46"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","202","212","6","708.992432","0","212"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","54","54","2","258.547668","0","54"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","8.130384","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","9.955128","0","7"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","45","45","1","49.347225","0","45"
"/InterchangeAssets/gltf/M_Default.M_Default","49","258","280","7","563.918274","0","280"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","164","182","6","416.611786","0","182"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","156","166","6","370.547394","0","166"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","156","166","6","307.005737","0","166"
"/Game/Models/World/zakaz-1000_Mat.zakaz-1000_Mat","49","46","48","1","76.330032","0","48"
"/Game/Models/World/zoltywykrzyknik-1000_Mat.zoltywykrzyknik-1000_Mat","49","46","48","1","0.000000","0","48"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","7","7","1","2.411533","0","7"
"/Game/Materials/Materia?y/Texture_lowpoly_floor1.Texture_lowpoly_floor1","49","13","13","1","17.110254","0","13"
"/Game/Materials/Materia?y/glow_lamp.glow_lamp","49","13","13","1","11.015248","0","13"
"/Game/UEStaff/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","49","16","16","2","7.443937","0","16"
"/Game/Materials/Materia?y/Texture_brick_lowpoly_walls2.Texture_brick_lowpoly_walls2","49","13","13","1","11.378207","0","13"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","7","7","1","2.524930","0","7"
"/Game/UEStaff/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","49","18","18","1","0.000000","0","18"
